Ancestral Mask;{2}{G};Enchantment — Aura;Enchant creature Enchanted creature gets +2/+2 for each other enchantment on the battlefield.;G;wildsOfEldraine;virtueOfValor
Sphinx of the Second Sun;{6}{U}{U};Creature — Sphinx;Flying At the beginning of each of your postcombat main phases, there is an additional beginning phase after this phase. (The beginning phase includes the untap, upkeep, and draw steps.);U;secretLair,karlovMannor;cuteToBrute,revenantRecon
Syr Elenora, the Discerning;{3}{U}{U};Legendary Creature — Human Knight;Syr Elenora, the Discerning's power is equal to the number of cards in your hand. When Syr Elenora enters, draw a card. Spells your opponents cast that target Syr Elenora cost {2} more to cast.;U;marchOfTheMachine;cavalryCharge
Rugged Prairie;;Land;{T}: Add {C}. {R/W}, {T}: Add {R}{R}, {R}{W}, or {W}{W}.;RW;commanderMasters,bloomburrow,thunder;planeswalkerParty,familyMatters,mostWanted
Vault 112: Sadistic Simulation;{2}{U}{R};Enchantment — Saga;(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I, II — Tap up to one target creature and put a stun counter on it. You get {E}{E} (two energy counters). III — Pay any amount of {E}. If you paid one or more {E} this way, shuffle your library, then exile that many cards from the top. You may play one of those cards without paying its mana cost.;RU;fallout;science
Arixmethes, Slumbering Isle;{2}{G}{U};Legendary Creature — Kraken;Arixmethes, Slumbering Isle enters tapped with five slumber counters on it. As long as Arixmethes has a slumber counter on it, it's a land. (It's not a creature.) Whenever you cast a spell, you may remove a slumber counter from Arixmethes. {T}: Add {G}{U}.;GU;duskmoore;jumpScare
Arcane Signet;{2};Artifact;{T}: Add one mana of any color in your commander's color identity.;;who,ixilan,marchOfTheMachine,commanderMasters,bloomburrow,wildsOfEldraine,modernHorizons3,lordOfTheRings,secretLair,fallout,allWillBeOne,duskmoore,thunder,karlovMannor;blastFromThePast,paradoxPower,masterOfEvil,timeyWimey,velociRampTor,exploreTheDeep,ahoyMatey,bloodRites,callForBackup,tinkerTime,growingThreat,divineConvocation,cavalryCharge,planeswalkerParty,enduringEnchantments,sliverSwarm,peaceOffering,squirreledAway,animatedArmy,familyMatters,virtueOfValor,faeDomination,eldraziIncursion,trickyTerrain,graveyardOverdrive,creativeEnergy,hostsOfMordor,ridersOfRohan,foodAndFellowship,elvenCounsel,rainingCatsAndDogs,angels,cuteToBrute,science,mutantMenace,hailCaesar,everLoyal,rebellionRising,corruptingInfluence,deathtoll,endlessPunishment,jumpScare,miracleWorker,quickDraw,grandLarceny,desertBloom,mostWanted,deepClueSea,revenantRecon,blameGame,deadlyDisguise
Gwaihir, Greatest of the Eagles;{4}{W};Legendary Creature — Bird Noble;Flying Whenever Gwaihir attacks, target attacking creature gains flying until end of turn. At the beginning of each end step, if you gained 3 or more life this turn, create a 3/3 white Bird creature token with flying and "Whenever this creature attacks, target attacking creature gains flying until end of turn.";W;lordOfTheRings;foodAndFellowship
Third Path Iconoclast;{U}{R};Creature — Human Monk;Whenever you cast a noncreature spell, create a 1/1 colorless Soldier artifact creature token.;RU;thunder;quickDraw
Skittering Invasion;{7};Kindred Sorcery — Eldrazi;Create five 0/1 colorless Eldrazi Spawn creature tokens. They have "Sacrifice this creature: Add {C}.";;modernHorizons3;eldraziIncursion
Bounty Board;{3};Artifact;{T}: Add one mana of any color. {1}, {T}: Put a bounty counter on target creature. Activate only as a sorcery. Whenever a creature with a bounty counter on it dies, each of its controller's opponents draws a card and gains 2 life.;;thunder;mostWanted
Ethersworn Adjudicator;{4}{U};Artifact Creature — Vedalken Knight;Flying {1}{W}{B}, {T}: Destroy target creature or enchantment. {2}{U}: Untap Ethersworn Adjudicator.;BUW;marchOfTheMachine;cavalryCharge
Two Streams Facility;;Plane — Apalapucia;Whenever you planeswalk to Two Streams Facility and at the beginning of the first upkeep of the game, each player chooses green anchor or red waterfall. Each player who last chose green anchor may play an additional land during each of their turns. Creatures controlled by players who last chose red waterfall get +2/+0 and have haste. Whenever chaos ensues, each player who last chose green anchor chooses red waterfall, and vice versa.;;who;timeyWimey
Migration Path;{3}{G};Sorcery;Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle. Cycling {2} ({2}, Discard this card: Draw a card.);G;ixilan;velociRampTor
Oblivion Stone;{3};Artifact;{4}, {T}: Put a fate counter on target permanent. {5}, {T}, Sacrifice Oblivion Stone: Destroy each nonland permanent without a fate counter on it, then remove all fate counters from all permanents.;;modernHorizons3;trickyTerrain
Deluge of Doom;{2}{B};Sorcery;All creatures get -X/-X until end of turn, where X is the number of card types among cards in your graveyard.;B;duskmoore;deathtoll
Cut a Deal;{2}{W};Sorcery;Each opponent draws a card, then you draw a card for each opponent who drew a card this way.;W;bloomburrow,allWillBeOne;familyMatters,rebellionRising
Thriving Heath;;Land;Thriving Heath enters tapped. As it enters, choose a color other than white. {T}: Add {W} or one mana of the chosen color.;W;who,ixilan,marchOfTheMachine,bloomburrow,duskmoore;blastFromThePast,velociRampTor,cavalryCharge,peaceOffering,familyMatters,miracleWorker
Nature's Lore;{1}{G};Sorcery;Search your library for a Forest card, put that card onto the battlefield, then shuffle.;G;commanderMasters,secretLair,karlovMannor;sliverSwarm,rainingCatsAndDogs,deadlyDisguise
